amenity,profile,specificity_mean,specificity_std,alignment_mean,alignment_std,avg_length,n_questions
bathtub,single,0.6743357487922707,0.2446829128739043,0.322463768115942,0.19368712603973132,18.971014492753625,828
bathtub,couple,0.6668478260869565,0.25036802097158056,0.6391304347826088,0.3117896252705997,17.345410628019323,828
bathtub,group,0.5964975845410628,0.20956834805438262,0.5618357487922705,0.2867315600248678,19.346618357487923,828
tv,single,0.5112359550561798,0.22094981778255735,0.5677902621722846,0.24028953811474382,20.761548064918852,801
tv,couple,0.6079275905118602,0.2523105704689147,0.6644194756554308,0.28972403903840777,19.73283395755306,801
tv,group,0.6147940074906367,0.2207330625617967,0.5865168539325842,0.16487570327727466,19.827715355805243,801
hairdryer,single,0.6847429519071311,0.20874192830561283,0.5097844112769486,0.29493308675156465,20.814262023217246,603
hairdryer,couple,0.6398839137645108,0.20919292068871378,0.5223880597014925,0.31766081495299364,21.759535655058045,603
hairdryer,group,0.6392205638474295,0.2258388955457126,0.5349917081260365,0.23269876383595267,21.038142620232172,603
mirror,single,0.6239850427350427,0.18126465690987942,0.35160256410256413,0.18852666544329733,18.94604700854701,1872
mirror,couple,0.5909989316239316,0.20106000082185044,0.601068376068376,0.29044419934223314,20.011752136752136,1872
mirror,group,0.6607638888888888,0.2256763429624619,0.5841880341880341,0.20487118870007914,20.29433760683761,1872
kettle,single,0.6438979963570127,0.22245139575879996,0.49653916211293264,0.2475505667024573,16.76502732240437,549
kettle,couple,0.6791438979963571,0.22957035038933915,0.5774134790528234,0.3172052570794841,19.40983606557377,549
kettle,group,0.6812386156648452,0.25079748120355433,0.5905282331511841,0.21369652661436073,19.67030965391621,549
