precision,recall,f1,mean_iou,tp,fp,fn,conf,prompt
0.8324324324279329,0.7162790697641104,0.7699999994989625,0.7618564155725444,154,31,61,0.05,baseline
0.8956521739052552,0.47906976743963225,0.6242424237845546,0.7713407573318775,103,12,112,0.15,baseline
0.9999999999814816,0.2511627906965062,0.4014869885237075,0.789790867377951,54,0,161,0.25,baseline
0.9999999999411765,0.0790697674414927,0.14655172400085464,0.7884999242006898,17,0,198,0.35,baseline
0.9999999989999999,0.0046511627906760415,0.009259259249957134,0.8596770518823539,1,0,214,0.45,baseline
0.785714285704932,0.30697674418461873,0.4414715714993792,0.771615680229681,66,18,149,0.05,long
0.8620689654875149,0.11627906976690103,0.20491803257575247,0.7732106587384119,25,4,190,0.15,long
0.9999999996666666,0.013953488372028124,0.02752293575241983,0.8442102073800067,3,0,212,0.25,long
0.9999999995,0.009302325581352083,0.018433179705069126,0.8289539575317183,2,0,213,0.35,long
0.0,0.0,0.0,0.0,0,0,215,0.45,long
0.704280155639283,0.8418604651123635,0.7669491520430822,0.758797132099391,181,76,34,0.05,variants
0.8272251308857214,0.7348837209268145,0.7783251226506225,0.7624159648522562,158,33,57,0.15,variants
0.9444444444356995,0.47441860464895624,0.63157894691938,0.7834275163460735,102,6,113,0.25,variants
0.999999999983871,0.2883720930219146,0.44765342925219925,0.775637848565946,62,0,153,0.35,variants
0.9999999999444444,0.08372093023216874,0.1545064376243438,0.7806439007279247,18,0,197,0.45,variants
