precision,recall,f1,mean_iou,tp,fp,fn,conf,prompt
0.6816143467192182,0.7307692272559172,0.7053359242471008,0.573207307324449,152,71,56,0.05,baseline
0.7870967691155047,0.6009852187143585,0.6815637509912715,0.6461221219271721,122,33,81,0.15,baseline
0.8860759381509375,0.34825870473503134,0.49999959135236777,0.7290111248945131,70,9,131,0.25,baseline
0.96428567984694,0.13432835754065495,0.23580764356152606,0.7864823738733927,27,1,174,0.35,baseline
0.7499998125000469,0.014925373060072772,0.0292682541344848,0.7444453239440918,3,1,198,0.45,baseline
0.7377049140016125,0.6650246272658885,0.6994813630033893,0.6036541433741818,135,48,68,0.05,electric
0.8644067723355359,0.50495049254975,0.6374995304690896,0.7042202739894652,102,16,100,0.15,electric
0.9148935975554554,0.2139303471943764,0.3467738835525584,0.7664570972530378,43,4,158,0.25,electric
0.8571427959183717,0.05970149224029109,0.1116277841861723,0.808538963397344,12,2,189,0.35,electric
0.9999990000010001,0.004975124353357591,0.009900980149005098,0.7723070383071899,1,0,200,0.45,electric
0.609489048870478,0.8067632811267474,0.6943862012010672,0.5136769492409289,167,107,40,0.05,rich_phrase
0.7150259030309539,0.6798029523162417,0.6969691937688512,0.5827115133544931,138,55,65,0.15,rich_phrase
0.8695652098298677,0.497512435335759,0.6329109254329612,0.7083736398416731,100,15,101,0.25,rich_phrase
0.9069767230935646,0.19402984978094603,0.31967183818220063,0.7533955211274144,39,4,162,0.35,rich_phrase
0.8749999453125034,0.06965174094700627,0.12903212028300654,0.7828996309212276,14,2,187,0.45,rich_phrase
0.6540084360590361,0.7451923041096524,0.6966287124760534,0.553857972218985,155,82,53,0.05,variants
0.7664670612786404,0.6305418688150647,0.6918913928856723,0.6273732589476783,128,39,75,0.15,variants
0.8837209199567335,0.3781094508551769,0.5296163013272872,0.7217178973874234,76,10,125,0.25,variants
0.937499970703126,0.14925373060072772,0.2575104904494759,0.785228431224823,30,2,171,0.35,variants
0.7499998125000469,0.014925373060072772,0.0292682541344848,0.7444453239440918,3,1,198,0.45,variants
